Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d10wS_y_test,d10wS_y_proba,d15wS_y_test,d15wS_y_proba,d30wS_y_test,d30wS_y_proba
0,False,0.7084029428947906,False,0.6072727199328789,False,0.5827387109788558,False,0.7018426734065463,False,0.6370452270096318,False,0.5549456910030338
1,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3778299340642961,False,0.20292340274937898,False,0.23730010269011936
2,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.33959565580109097,False,0.27374247826254117,False,0.21240373968210044
3,False,0.3545672278405261,False,0.5752140735987771,False,0.6480059501974158,False,0.34801136760164025,False,0.43083333333333335,False,1.0
4,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.33573195796943195,False,0.2442572571088399,False,0.18351952201664248
5,False,0.3545672278405261,False,0.5752140735987771,False,0.5275035898648917,False,0.3411899702818874,False,0.48297619047619056,False,0.39714285714285713
6,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.36146113157135995,False,0.2696046464584489,False,0.24769228448473735
7,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3157330903996644,False,0.18828827670739434,False,0.2034136980542523
8,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3678779266060802,False,0.22871393600974582,False,0.21579150190064406
9,False,0.7084029428947906,False,0.6072727199328789,False,0.5827387109788558,False,0.7411295878985247,False,0.5733139329175135,False,0.5676496615935976
10,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3484455055350152,False,0.22703595498465595,False,0.2472386694787423
11,False,0.7084029428947906,False,0.6072727199328789,False,0.5827387109788558,False,0.7376181280535606,False,0.5656701841091744,False,0.5967756636656892
12,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3380738294908346,False,0.18813476828087056,False,0.1957527467068235
13,False,0.3545672278405261,False,0.3259358181142838,False,0.4416977530425861,False,0.33958870853860035,False,0.26178910113613224,False,0.4195238095238095
14,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.35954258521766264,False,0.18459948684388008,False,0.22194378734701314
15,False,0.7084029428947906,False,0.6072727199328789,False,0.5827387109788558,False,0.7128352449602093,False,0.6410475839949525,False,0.5482710223835451
16,False,0.7084029428947906,False,0.6072727199328789,False,0.5827387109788558,False,0.7061397123073596,False,0.6286110001110001,False,0.5108241256364321
17,False,0.3545672278405261,False,0.518647320192488,False,0.40932218459450337,False,0.35169934666027025,False,0.924047619047619,False,1.0
18,False,0.3545672278405261,False,0.3259358181142838,False,0.4416977530425861,False,0.36915561003492037,False,0.2145844270286565,False,0.5938888888888888
19,False,0.7084029428947906,False,0.6072727199328789,False,0.5827387109788558,False,0.7507056253746958,False,0.5986763066682421,False,0.5902395374351895
20,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3523768801516548,False,0.24094335688334745,False,0.205136035751098
21,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3713400736129687,False,0.24668346134855676,False,0.2401536268842249
22,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3380901348784515,False,0.2504922087542486,False,0.231997206997207
23,False,0.3545672278405261,False,0.3259358181142838,False,0.32633263301429505,False,0.3346200912316525,False,0.20230335396663346,False,0.20076831518871105
24,False,0.7084029428947906,False,0.7594246724191668,False,0.7089117993507033,False,0.7055124121613483,False,0.9018181818181817,False,0.6792424242424242
